conference,gender,team,rank,score,champion_ratio,meet_share,final_tier,tier_short,generated_at,snapshot_version
Big Ten,women,University of Southern Califor,5,768.0,0.61786,0.087154,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,University of Minnesota,6,701.0,0.563958,0.079551,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,"University of California, Los",7,605.5,0.487128,0.068713,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,Purdue University,8,497.0,0.399839,0.0564,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,Northwestern University,9,446.0,0.358809,0.050613,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,University of Nebraska-Lincoln,10,433.5,0.348753,0.049194,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,Rutgers University,11,379.5,0.30531,0.043066,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,"Iowa, University of",12,284.0,0.228479,0.032229,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,Pennsylvania State University,13,216.0,0.173773,0.024512,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big Ten,women,University of Illinois,14,195.5,0.157281,0.022186,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,University of Hawaii,1,780.0,1.0,0.236364,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,Grand Canyon University,2,728.0,0.933333,0.220606,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,UC San Diego,3,571.0,0.732051,0.17303,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,UC Santa Barbara,4,568.0,0.728205,0.172121,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,Cal State Bakersfield,5,379.5,0.486538,0.115,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,men,Seattle U,6,273.5,0.350641,0.082879,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,University of Hawaii,1,798.0,1.0,0.229773,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,UC Davis,2,692.0,0.867168,0.199251,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,UC Santa Barbara,3,660.0,0.827068,0.190037,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,UC San Diego,4,644.0,0.807018,0.18543,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,University of San Diego,5,350.0,0.438596,0.100777,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,Cal State Bakersfield,6,172.0,0.215539,0.049525,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big West,women,Seattle U,7,157.0,0.196742,0.045206,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,men,University of North Carolina W,1,852.0,1.0,0.277253,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,men,Towson University,2,789.0,0.926056,0.256752,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,men,Drexel University,3,667.5,0.783451,0.217214,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,men,William and Mary,4,508.5,0.596831,0.165473,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,men,Monmouth University,5,256.0,0.300469,0.083306,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,William and Mary,1,1647.0,1.0,0.22311,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,University of North Carolina W,2,1415.5,0.859441,0.19175,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Towson University,3,1117.5,0.678506,0.151382,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Northeastern University,4,980.0,0.595021,0.132755,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Drexel University,5,918.0,0.557377,0.124357,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Stony Brook University,6,536.0,0.32544,0.072609,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Campbell University,7,466.0,0.282939,0.063127,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CAA,women,Monmouth University,8,302.0,0.183364,0.04091,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Augustana College,1,1036.0,1.0,0.317499,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Wheaton College,2,876.0,0.84556,0.268465,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Carthage College,3,756.0,0.72973,0.231689,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Illinois Wesleyan University,4,213.0,0.205598,0.065277,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Carroll University,5,199.0,0.192085,0.060987,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,Millikin University,6,160.0,0.15444,0.049035,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,men,North Central College,7,23.0,0.022201,0.007049,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Wheaton College,1,818.0,1.0,0.240376,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Augustana College,2,817.0,0.998778,0.240082,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Carthage College,3,736.0,0.899756,0.21628,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Illinois Wesleyan University,4,505.0,0.617359,0.148398,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Carroll University,5,256.0,0.312958,0.075228,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,Millikin University,6,143.0,0.174817,0.042022,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
CCIW,women,North Central College,7,128.0,0.156479,0.037614,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Johns Hopkins University,1,940.5,1.0,0.26772,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Gettysburg College,2,726.0,0.77193,0.206661,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Swarthmore College,3,675.0,0.717703,0.192143,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Dickinson College,4,311.0,0.330675,0.088528,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Franklin & Marshall College,5,277.0,0.294524,0.07885,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Ursinus College,6,229.0,0.243488,0.065186,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,Washington College,7,219.5,0.233386,0.062482,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,men,McDaniel College Swim Team,8,135.0,0.143541,0.038429,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,women,Swarthmore College,1,819.0,1.0,0.235887,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,women,Johns Hopkins University,2,803.5,0.981074,0.231423,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Colorado College,women,Gettysburg College,3,626.0,0.764347,0.1803,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
