gender,event,sw_n,sw_median,sw_mad,sw_p05,sw_p25,sw_p75,sw_p95,deep_n,deep_median,deep_mad,deep_p05,deep_p25,deep_p75,deep_p95,spread_n,spread_median,spread_mad,spread_p05,spread_p25,spread_p75,spread_p95,shape_n,shape_median,shape_mad,shape_p05,shape_p25,shape_p75,shape_p95
men,200 im,35,107.17,1.8400000000000034,100.5174,104.205,108.17,112.8063,35,113.87,3.3700000000000045,106.3971,110.80250000000001,117.74,128.283,35,7.329999999999998,2.1200000000000045,4.621899999999997,6.009999999999998,10.11,17.287499999999994,35,1.0674891814750023,0.019695401087881814,1.0441137035873878,1.0572165243901472,1.0939329183313202,1.152894687778605
men,400 im,35,230.78,4.289999999999992,215.6735,227.275,235.31,242.5651,35,247.66,8.840000000000003,225.8014,241.58499999999998,262.17,284.5986,35,20.439999999999998,6.380000000000024,10.127899999999999,14.805000000000007,27.14500000000001,46.50249999999998,35,1.0898066783831284,0.027987553361513262,1.0469584324704098,1.0640796812386002,1.115762272976561,1.1922322323898498
men,50 free,32,19.725,0.5099999999999998,18.595575,19.195,20.185000000000002,20.70405,32,21.060000000000002,0.4350000000000023,19.87685,20.6075,21.47,22.163525,32,1.325000000000001,0.21499999999999986,0.9138000000000001,1.097500000000001,1.4475000000000016,2.1761999999999997,32,1.0655007612839138,0.008528442951388548,1.0465362133984029,1.0586257494155369,1.075448465198123,1.1058361131173018
men,500 free,33,264.15,4.110000000000014,249.392,260.98,268.33,274.6088,33,282.31,10.550000000000011,264.9388,274.4,295.44,308.2996,33,18.139999999999986,4.46999999999997,11.280400000000009,14.330000000000013,23.920000000000016,40.291599999999995,33,1.0683443708609273,0.01688938056438638,1.0428017565444443,1.0551423634587933,1.0852337514253136,1.150336762140879
women,100 back,33,54.68,0.9399999999999977,50.3752,53.81,55.62,57.7656,33,59.33,1.8500000000000014,53.6952,57.2,61.13,65.5932,33,4.450000000000003,0.9699999999999989,2.911199999999997,3.539999999999999,5.699999999999996,8.6812,33,1.083266291230893,0.017394627403522156,1.0541642729417626,1.0676734849933092,1.1007245096306768,1.1521025352112675
women,100 breast,32,61.629999999999995,1.6550000000000047,57.740024999999996,60.5075,63.4825,64.7248,32,67.41,2.0899999999999963,61.3314,65.445,69.63499999999999,73.59665,32,5.169999999999998,1.6099999999999994,3.2116500000000006,3.9150000000000045,6.922499999999999,10.213399999999996,32,1.0840749921184538,0.023531980940183272,1.0537096567782775,1.0645406256898657,1.1105969732097154,1.1591604047670243
women,100 fly,32,54.33,1.4200000000000017,50.269,52.315,55.22,56.880624999999995,32,58.295,1.9899999999999984,53.522175000000004,56.2675,60.1975,64.766075,32,4.295000000000002,0.9500000000000028,2.5191249999999976,3.289999999999999,4.975000000000001,8.067325000000006,32,1.0796166154625455,0.018216838478440467,1.0493219096402024,1.0602723961797802,1.0960232260926237,1.1434819763552029
women,100 free,32,50.0,0.5850000000000009,46.177474999999994,48.8275,50.425,52.4515,32,53.265,1.5249999999999986,49.181525,51.557500000000005,54.02,58.65305,32,3.270000000000003,0.8400000000000034,2.137975000000001,2.772499999999999,4.205,5.896324999999993,32,1.0655273688356366,0.0158581605758783,1.043266554958054,1.0549885709925875,1.0839970182606424,1.1153997127161803
women,1000 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,
women,1650 free,34,1006.685,16.50499999999994,824.8961000000002,990.03,1020.925,1052.2846,34,1079.0900000000001,40.71499999999992,882.233275,1042.6,1148.0225,1230.749275,34,72.98499999999996,20.150000000000034,45.02985000000001,56.18999999999997,100.31249999999991,183.2070249999999,34,1.0758352362378354,0.021266548211941738,1.0465635896629841,1.0602647941226422,1.1085871886461793,1.3325416013455702
women,200 back,32,119.03999999999999,2.6799999999999926,109.609925,116.36500000000001,120.74,125.001125,32,128.61,4.650000000000006,117.762425,125.5625,133.86,143.34574999999998,32,9.5,2.0075000000000003,7.153950000000006,8.872499999999995,12.307500000000012,19.382025,32,1.081531741988233,0.017576394423388875,1.0602878070463029,1.0718719849234781,1.1039036487549794,1.1578886071483554
women,200 breast,32,134.74,2.8799999999999955,126.85095,131.8275,137.615,141.41479999999999,32,148.29,5.920000000000016,133.80867500000002,141.59625,153.13,167.499175,32,11.825000000000003,2.5849999999999937,6.295099999999979,9.594999999999992,15.839999999999982,27.46405000000001,32,1.0892017041087458,0.017463599020438925,1.0479539134502807,1.0740429824516562,1.1138868333743033,1.1901324487756604
women,200 fly,34,120.65,2.270000000000003,111.40729999999999,118.3975,122.7025,127.03335,34,132.585,7.3999999999999915,119.588725,126.9975,140.1925,160.62765,34,11.605000000000004,4.434999999999995,4.568100000000012,8.397500000000012,17.5925,38.40299999999999,34,1.0977885388296755,0.03379894292806718,1.0383459840076383,1.0715871708332578,1.1470329372633223,1.3137789363011902
women,200 free,35,108.59,2.1700000000000017,101.6317,106.875,110.76,115.2103,35,116.56,3.239999999999995,107.30250000000001,113.37,119.57,127.4118,35,7.679999999999993,1.6999999999999886,4.512100000000006,5.920000000000002,9.120000000000005,11.66850000000001,35,1.0697498104624716,0.012699629199353968,1.0416301604447347,1.0577569398092563,1.0831474259434357,1.1035237150484216
women,200 im,31,121.68,2.1400000000000006,113.6275,119.14500000000001,123.565,127.14250000000001,31,130.26,3.210000000000008,122.32000000000001,126.405,132.47,139.61,31,8.180000000000007,1.1099999999999994,6.207500000000007,7.340000000000003,9.404999999999994,12.949999999999989,31,1.0670107383667695,0.008139245845418586,1.0516585366944629,1.0624347138056223,1.0772730164917368,1.103415779889028
women,400 im,31,261.41,5.170000000000016,241.62,255.74,265.25,275.37,31,280.8,5.480000000000018,257.34000000000003,276.485,293.45,309.8625,31,20.970000000000027,5.94999999999996,13.417499999999997,17.230000000000018,27.539999999999964,40.32250000000002,31,1.079706564293588,0.021574323902136427,1.0528388545336202,1.0664703136095308,1.1029378784480823,1.1513159342208386
women,50 free,33,22.72,0.4299999999999997,21.09,22.39,23.15,23.807199999999998,33,24.22,0.5399999999999991,22.5704,23.68,24.82,25.6896,33,1.5599999999999987,0.1999999999999993,0.9768000000000006,1.3099999999999987,1.740000000000002,2.0103999999999997,33,1.0675555555555556,0.010681854516386924,1.0451436198544939,1.0575824175824176,1.0782374100719425,1.0864802540300087
women,500 free,33,290.1,4.330000000000041,274.4688,286.8,297.83,306.6436,33,310.37,9.399999999999977,287.8836,301.35,320.2,332.5368,33,18.160000000000025,4.550000000000068,11.860400000000045,14.560000000000002,25.129999999999995,29.424799999999994,33,1.0633726423347447,0.013809641606412848,1.0409281136833346,1.0538202787121576,1.0837872215518085,1.1007168145884862
