bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
atlantic10_2026,Atlantic 10,women,5,Fordham University,371.0,600.0,3651.0,0.618333,0.101616,Tier 2,,Tier 2
atlantic10_2026,Atlantic 10,women,6,St Bonaventure University,358.0,600.0,3651.0,0.596667,0.098055,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,women,7,University of Rhode Island,234.0,600.0,3651.0,0.39,0.064092,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,women,8,George Mason University,211.0,600.0,3651.0,0.351667,0.057792,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,women,9,Davidson College,169.0,600.0,3651.0,0.281667,0.046289,Tier 4,,Tier 4
atlantic10_2026,Atlantic 10,women,10,Saint Louis University,142.0,600.0,3651.0,0.236667,0.038893,Tier 4,,Tier 4
big12_unknown,Big 12,men,1,Arizona State University,1898.5,1898.5,7976.0,1.0,0.238027,Tier 1,Powerhouse,Tier 1B
big12_unknown,Big 12,men,2,University of Arizona,1552.5,1898.5,7976.0,0.817751,0.194646,Tier 2,,Tier 2
big12_unknown,Big 12,men,3,University of Utah,1305.0,1898.5,7976.0,0.687385,0.163616,Tier 2,,Tier 2
big12_unknown,Big 12,men,4,Texas Christian University,934.0,1898.5,7976.0,0.491967,0.117101,Tier 3,,Tier 3
big12_unknown,Big 12,men,5,Brigham Young University,843.0,1898.5,7976.0,0.444035,0.105692,Tier 3,,Tier 3
big12_unknown,Big 12,men,6,University of Cincinnati,802.0,1898.5,7976.0,0.422439,0.100552,Tier 3,,Tier 3
big12_unknown,Big 12,men,7,West Virginia University,641.0,1898.5,7976.0,0.337635,0.080366,Tier 4,,Tier 4
big12_unknown,Big 12,women,1,Arizona State University,1660.5,1660.5,8686.0,1.0,0.19117,Tier 1,Powerhouse,Tier 1B
big12_unknown,Big 12,women,2,University of Arizona,1442.5,1660.5,8686.0,0.868714,0.166072,Tier 1,Powerhouse,Tier 1B
big12_unknown,Big 12,women,3,University of Houston,1194.5,1660.5,8686.0,0.719362,0.13752,Tier 2,,Tier 2
big12_unknown,Big 12,women,4,University of Cincinnati,770.0,1660.5,8686.0,0.463716,0.088648,Tier 3,,Tier 3
big12_unknown,Big 12,women,5,University of Kansas,739.5,1660.5,8686.0,0.445348,0.085137,Tier 3,,Tier 3
big12_unknown,Big 12,women,6,Texas Christian University,733.0,1660.5,8686.0,0.441433,0.084389,Tier 3,,Tier 3
big12_unknown,Big 12,women,7,University of Utah,693.0,1660.5,8686.0,0.417344,0.079784,Tier 3,,Tier 3
big12_unknown,Big 12,women,8,Brigham Young University,524.0,1660.5,8686.0,0.315568,0.060327,Tier 4,,Tier 4
big12_unknown,Big 12,women,9,Iowa State University,520.0,1660.5,8686.0,0.313159,0.059866,Tier 4,,Tier 4
big12_unknown,Big 12,women,10,West Virginia University,409.0,1660.5,8686.0,0.246311,0.047087,Tier 4,,Tier 4
bigeast_2026,Big East,men,1,Georgetown University,910.5,910.5,3009.0,1.0,0.302592,Tier 1,Super Powerhouse,Tier 1A
bigeast_2026,Big East,men,2,Seton Hall University,742.5,910.5,3009.0,0.815486,0.24676,Tier 2,,Tier 2
bigeast_2026,Big East,men,3,Villanova University,610.0,910.5,3009.0,0.669962,0.202725,Tier 2,,Tier 2
bigeast_2026,Big East,men,4,Xavier University,582.5,910.5,3009.0,0.639758,0.193586,Tier 2,,Tier 2
bigeast_2026,Big East,men,5,Providence College,163.5,910.5,3009.0,0.179572,0.054337,Tier 4,,Tier 4
bigeast_2026,Big East,women,1,Villanova University,1754.0,1754.0,7242.0,1.0,0.242198,Tier 1,Super Powerhouse,Tier 1A
bigeast_2026,Big East,women,2,"Connecticut, University of",1520.0,1754.0,7242.0,0.866591,0.209887,Tier 1,Powerhouse,Tier 1B
bigeast_2026,Big East,women,3,Georgetown University,1303.0,1754.0,7242.0,0.742873,0.179923,Tier 2,,Tier 2
bigeast_2026,Big East,women,4,Xavier University,1003.5,1754.0,7242.0,0.572121,0.138567,Tier 3,,Tier 3
bigeast_2026,Big East,women,5,Butler University,581.5,1754.0,7242.0,0.331528,0.080295,Tier 4,,Tier 4
bigeast_2026,Big East,women,6,Seton Hall University,559.0,1754.0,7242.0,0.3187,0.077189,Tier 4,,Tier 4
bigeast_2026,Big East,women,7,Providence College,521.0,1754.0,7242.0,0.297035,0.071941,Tier 4,,Tier 4
bigten_2026,Big Ten,men,1,Indiana University,1544.5,1544.5,8021.0,1.0,0.192557,Tier 1,Powerhouse,Tier 1B
bigten_2026,Big Ten,men,2,"Michigan, University of",1208.0,1544.5,8021.0,0.78213,0.150605,Tier 2,,Tier 2
bigten_2026,Big Ten,men,3,Ohio State University,1035.5,1544.5,8021.0,0.670444,0.129099,Tier 2,,Tier 2
bigten_2026,Big Ten,men,4,Northwestern University,840.0,1544.5,8021.0,0.543865,0.104725,Tier 3,,Tier 3
bigten_2026,Big Ten,men,5,"Wisconsin, University of, Madi",832.5,1544.5,8021.0,0.539009,0.10379,Tier 3,,Tier 3
bigten_2026,Big Ten,men,6,Purdue University,783.0,1544.5,8021.0,0.50696,0.097619,Tier 3,,Tier 3
bigten_2026,Big Ten,men,7,University of Southern Califor,707.5,1544.5,8021.0,0.458077,0.088206,Tier 3,,Tier 3
bigten_2026,Big Ten,men,8,University of Minnesota,644.0,1544.5,8021.0,0.416963,0.080289,Tier 3,,Tier 3
bigten_2026,Big Ten,men,9,Pennsylvania State University,426.0,1544.5,8021.0,0.275817,0.053111,Tier 4,,Tier 4
