Conference,Finish,Team,MenPoints,Tier,SourcePage,Key,ChampionPoints,MedianPoints,DominanceIndex,IsChampion,PSF,PowerClass,ChampionMeetShare,ChampionPowerClass,ChampionRatio,MeetTotalPoints,MeetShare,gender,final_tier,tier_short,generated_at,snapshot_version
ASUN,5,Univ North Carolina Asheville,768.0,Tier 3,0,ASUN|Univ North Carolina Asheville,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.472034,7995.0,0.09606,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,6,University of North Florida,648.5,Tier 3,0,ASUN|University of North Florida,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.398586,7995.0,0.081113,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,7,Old Dominion University,563.0,Tier 4,0,ASUN|Old Dominion University,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.346036,7995.0,0.070419,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,8,Gardner-Webb University,470.5,Tier 4,0,ASUN|Gardner-Webb University,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.289183,7995.0,0.058849,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,9,Bellarmine University,286.0,Tier 4,0,ASUN|Bellarmine University,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.175784,7995.0,0.035772,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,1,George Washington University,784.83,Tier 1,0,Atlantic 10|George Washington University,784.83,0,0,1,1.0,Powerhouse,0.234629,Powerhouse,1.0,3344.99,0.234629,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,2,George Mason University,585.66,Tier 2,0,Atlantic 10|George Mason University,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.746225,3344.99,0.175086,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,3,St Bonaventure University,506.5,Tier 2,0,Atlantic 10|St Bonaventure University,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.645363,3344.99,0.15142,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,4,La Salle University,437.0,Tier 3,0,Atlantic 10|La Salle University,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.556808,3344.99,0.130643,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,5,Davidson College,420.0,Tier 3,0,Atlantic 10|Davidson College,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.535148,3344.99,0.125561,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,6,Saint Louis University,325.0,Tier 3,0,Atlantic 10|Saint Louis University,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.414102,3344.99,0.09716,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,7,Fordham University,286.0,Tier 3,0,Atlantic 10|Fordham University,784.83,0,0,0,1.0,,0.234629,Powerhouse,0.36441,3344.99,0.085501,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,1,University of Richmond,600.0,Tier 1,0,Atlantic 10|University of Richmond,600.0,0,0,1,1.0,Powerhouse,0.164339,Powerhouse,1.0,3651.0,0.164339,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,2,George Washington University,572.5,Tier 1,0,Atlantic 10|George Washington University,600.0,0,0,0,1.0,Powerhouse,0.164339,Powerhouse,0.954167,3651.0,0.156806,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,3,Duquesne University,516.5,Tier 1,0,Atlantic 10|Duquesne University,600.0,0,0,0,1.0,Powerhouse,0.164339,Powerhouse,0.860833,3651.0,0.141468,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,4,La Salle University,477.0,Tier 2,0,Atlantic 10|La Salle University,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.795,3651.0,0.130649,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,5,Fordham University,371.0,Tier 2,0,Atlantic 10|Fordham University,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.618333,3651.0,0.101616,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,6,St Bonaventure University,358.0,Tier 3,0,Atlantic 10|St Bonaventure University,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.596667,3651.0,0.098055,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,7,University of Rhode Island,234.0,Tier 3,0,Atlantic 10|University of Rhode Island,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.39,3651.0,0.064092,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,8,George Mason University,211.0,Tier 3,0,Atlantic 10|George Mason University,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.351667,3651.0,0.057792,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
