Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality
Summit League,2026,men,summitleague_2026,50 Free,19.56,20.45,20.58,19.56,20.45,20.58,0.068,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,100 Free,43.81,44.61,45.25,43.81,44.61,45.25,0.096,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,200 Free,1:33.93,1:39.76,1:40.76,93.93,99.76,100.76,0.4553,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,500 Free,4:23.74,4:32.81,4:33.66,263.74,272.81,273.66,0.6613,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,1650 Free,15:18.41,16:13.48,17:03.72,918.41,973.48,1023.72,7.0207,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,100 Back,5:17.90,4:49.00,49.11,317.9,289.0,49.11,-17.9193,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,200 Back,1:42.14,1:48.51,1:52.33,102.14,108.51,112.33,0.6793,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,100 Breast,54.41,55.15,56.26,54.41,55.15,56.26,0.1233,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,200 Breast,1:54.95,2:00.37,2:09.00,114.95,120.37,129.0,0.9367,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,100 Fly,47.11,48.93,49.28,47.11,48.93,49.28,0.1447,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,200 Fly,1:43.79,1:50.49,1:51.78,103.79,110.49,111.78,0.5327,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,200 IM,1:44.13,1:51.23,1:52.52,104.13,111.23,112.52,0.5593,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,men,summitleague_2026,400 IM,3:51.12,3:58.55,4:04.96,231.12,238.55,244.96,0.9227,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,50 Free,22.93,23.52,23.88,22.93,23.52,23.88,0.0633,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,100 Free,50.81,51.71,52.45,50.81,51.71,52.45,0.1093,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,200 Free,1:45.53,1:51.48,1:55.24,105.53,111.48,115.24,0.6473,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,500 Free,4:50.92,5:03.69,5:09.14,290.92,303.69,309.14,1.2147,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,1650 Free,16:57.36,17:31.28,16:25.29,1017.36,1051.28,985.29,-2.138,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,100 Back,54.51,56.41,57.70,54.51,56.41,57.7,0.2127,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,200 Back,1:54.80,2:02.62,2:04.61,114.8,122.62,124.61,0.654,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,100 Breast,1:00.30,1:03.69,1:06.39,60.3,63.69,66.39,0.406,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,200 Breast,2:16.08,2:18.42,2:24.76,136.08,138.42,144.76,0.5787,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,100 Fly,53.25,56.04,58.40,53.25,56.04,58.4,0.3433,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,200 Fly,1:57.11,2:06.12,2:17.88,117.11,126.12,137.88,1.3847,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,200 IM,1:57.88,2:04.11,2:07.62,117.88,124.11,127.62,0.6493,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
Summit League,2026,women,summitleague_2026,400 IM,4:18.48,4:32.67,4:40.77,258.48,272.67,280.77,1.486,SUMMIT LEAGUE 2026 RESULTS.pdf,finals
