Source_File,Bundle_ID,Conference,Year,Gender,Event,Issue
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Breast,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Breast,Event incomplete after both passes — 8th place not found
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Breast,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Breast,"Event incomplete after both passes — 1st, 8th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Fly,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Fly,Event incomplete after both passes — 8th place not found
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Fly,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 IM,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 IM,"Event incomplete after both passes — 1st, 8th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,400 IM,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,400 IM,"Event incomplete after both passes — 8th, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,50 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,50 Free,"Event incomplete after both passes — 8th, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Free,"Implausible 1st-place time 1:35.26 — no better candidate, kept"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,500 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,1650 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,1650 Free,"Event incomplete after both passes — 1st, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Back,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Back,Event incomplete after both passes — 8th place not found
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Back,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Back,"Event incomplete after both passes — 1st, 8th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Breast,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Breast,"Event incomplete after both passes — 1st, 8th, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Breast,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Breast,"Event incomplete after both passes — 1st, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Fly,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Fly,"Event incomplete after both passes — 8th, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Fly,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Fly,"Event incomplete after both passes — 1st, 8th, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 IM,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 IM,"Event incomplete after both passes — 1st, 8th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,400 IM,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,400 IM,Event incomplete after both passes — 8th place not found
SUMMIT LEAGUE 2026 RESULTS.pdf,summitleague_2026,Summit League,2026,combined,,Combined/unknown file — parsing both sections (combined)
SUMMIT LEAGUE 2026 RESULTS.pdf,summitleague_2026,Summit League,2026,,,Team scores not found in any bundle file
SUMMIT LEAGUE 2026 RESULTS.pdf,summitleague_2026,Summit League,2026,men,100 Back,"Implausible 1st-place time 5:17.90 — no better candidate, kept"
