Bundle_ID,Conference,Source_File,Page_Number,Raw_Header_Text,Gender_Normalized,Event_Normalized,Round_Normalized,Accepted_YN,Rejection_Reason,State_Action,Intervening_Line_Type,Dedupe_Key,Notes
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,2,Event 5 Men 500 Yard Freestyle,men,500 Free,unknown,yes,,finalize+open_event,,men:500 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,3,Preliminaries ... (Event 5 Men 500 Yard Freestyle),men,500 Free,unknown,yes,,finalize+open_event,,men:500 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,4,Preliminaries ... (Event 5 Men 500 Yard Freestyle),men,500 Free,unknown,yes,,finalize+open_event,,men:500 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,4,Event 7 Men 200 Yard IM,men,200 IM,unknown,yes,,finalize+open_event,,men:200 IM,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,4,Event 7 Men 200 Yard IM,men,200 IM,unknown,yes,,finalize+open_event,,men:200 IM,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,5,Preliminaries ... (Event 7 Men 200 Yard IM),men,200 IM,unknown,yes,,finalize+open_event,,men:200 IM,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,5,Event 9 Men 50 Yard Freestyle,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,5,Event 9 Men 50 Yard Freestyle,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,6,Preliminaries ... (Event 9 Men 50 Yard Freestyle),men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,7,Event 15 Men 400 Yard IM,men,400 IM,unknown,yes,,finalize+open_event,,men:400 IM,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,8,Event 15 Men 400 Yard IM,men,400 IM,unknown,yes,,finalize+open_event,,men:400 IM,session=prelims
